"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "SQLite", "XML", "Prisma", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\benou\Bureau\Code\studyswipe\src\hooks\useAiCardGeneration.ts", "TypeScript", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 205
"d:\benou\Bureau\Code\studyswipe\src\lib\arrays.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\benou\Bureau\Code\studyswipe\src\lib\auth.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 8, 109
"d:\benou\Bureau\Code\studyswipe\src\lib\cache.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\benou\Bureau\Code\studyswipe\src\lib\cardObject.ts", "TypeScript", 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 144
"d:\benou\Bureau\Code\studyswipe\src\lib\constants.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\benou\Bureau\Code\studyswipe\src\lib\errorHandling\authErrors.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\benou\Bureau\Code\studyswipe\src\lib\errorHandling\serverErrors.ts", "TypeScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 65
"d:\benou\Bureau\Code\studyswipe\src\lib\googleAi.ts", "TypeScript", 196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 197
"d:\benou\Bureau\Code\studyswipe\src\lib\prisma.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"d:\benou\Bureau\Code\studyswipe\src\lib\stripe.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\benou\Bureau\Code\studyswipe\src\lib\time.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\benou\Bureau\Code\studyswipe\tailwind.config.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57
"d:\benou\Bureau\Code\studyswipe\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\benou\Bureau\Code\studyswipe\types.d.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 40
"Total", "-", 1227, 27, 10, 6, 45, 116, 57, 96, 3435, 123, 163, 610, 5915
